anchor_id	domain	marker_gene	phylum	representative_genus	representative_name	accession	source	rumen_relevance	tree_role	recommended_action	notes
PHYLOSELECT_REF_Pseudomonadota_Wolinella	Bacteria	16S_rRNA	Pseudomonadota	Wolinella	Wolinella succinogenes DSM 1740	NR_043184	NCBI_RefSeq	Moderate	rumen_related_anchor	Keep	Rumen-associated epsilon/campylobacter-lineage anchor; useful when this group appears.
PHYLOSELECT_REF_Actinomycetota_Bifidobacterium	Bacteria	16S_rRNA	Actinomycetota	Bifidobacterium	Bifidobacterium longum NCC2705	NR_040783	NCBI_RefSeq	Moderate	gut_actinomycetota_anchor	Keep	Gut Actinomycetota anchor; rumen relevance is variable but useful.
PHYLOSELECT_REF_Actinomycetota_Streptomyces	Bacteria	16S_rRNA	Actinomycetota	Streptomyces	Streptomyces griseus subsp. griseus ATCC 23345	NR_043823	NCBI_RefSeq	Low	broad_actinomycetota_anchor	Optional	Soil Actinomycetota scaffold; useful broad topology, weak rumen relevance.
PHYLOSELECT_REF_Spirochaetota_Treponema	Bacteria	16S_rRNA	Spirochaetota	Treponema	Treponema pallidum subsp. pallidum str. Nichols	NR_027243	NCBI_RefSeq	Moderate	spirochaetota_anchor	Keep_or_replace	Rumen treponemes are relevant, but this species is not a rumen representative; replace with a rumen Treponema when a vetted sequence is available.
PHYLOSELECT_REF_Spirochaetota_Borrelia	Bacteria	16S_rRNA	Spirochaetota	Borrelia	Borrelia burgdorferi B31	NR_025890	NCBI_RefSeq	Low	broad_spirochaetota_anchor	Optional	Broad Spirochaetota scaffold; not rumen-specific.
PHYLOSELECT_REF_Fibrobacterota_Fibrobacter	Bacteria	16S_rRNA	Fibrobacterota	Fibrobacter	Fibrobacter succinogenes subsp. succinogenes S85	NR_041558	NCBI_RefSeq	High	core_rumen_anchor	Keep	Primary rumen fibre degrader; important rumen-specific anchor.
PHYLOSELECT_REF_Fusobacteriota_Fusobacterium	Bacteria	16S_rRNA	Fusobacteriota	Fusobacterium	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	NR_026043	NCBI_RefSeq	Low	broad_fusobacteriota_anchor	Optional	Broad phylum scaffold; low expected rumen relevance for this representative.
PHYLOSELECT_REF_Planctomycetota_Planctomyces	Bacteria	16S_rRNA	Planctomycetota	Planctomyces	Planctomyces maris DSM 8797	NR_043399	NCBI_RefSeq	Low	broad_planctomycetota_anchor	Optional	Broad topology anchor; not rumen-specific.
PHYLOSELECT_REF_Verrucomicrobiota_Akkermansia	Bacteria	16S_rRNA	Verrucomicrobiota	Akkermansia	Akkermansia muciniphila ATCC BAA-835	NR_042817	NCBI_RefSeq	Moderate	gut_verrucomicrobiota_anchor	Keep_or_replace	Gut mucosa Verrucomicrobiota anchor; useful gut context but not a core rumen isolate.
PHYLOSELECT_REF_Thermotogota_Thermotoga	Bacteria	16S_rRNA	Thermotogota	Thermotoga	Thermotoga maritima MSB8	NR_043084	NCBI_RefSeq	Low	deep_bacterial_anchor	Optional	Deep bacterial branch; useful for broad topology, not rumen-specific.
PHYLOSELECT_REF_Deinococcota_Deinococcus	Bacteria	16S_rRNA	Deinococcota	Deinococcus	Deinococcus radiodurans R1	NR_036779	NCBI_RefSeq	Low	broad_deinococcota_anchor	Optional	Broad topology anchor; not rumen-specific.
PHYLOSELECT_REF_Cyanobacteriota_Synechococcus	Bacteria	16S_rRNA	Cyanobacteriota	Synechococcus	Synechococcus elongatus PCC 6301	NR_043317	NCBI_RefSeq	Low	broad_cyanobacteriota_anchor	Optional	Broad bacterial breadth anchor; not rumen-specific.
PHYLOSELECT_REF_Archaea_Methanobrevibacter	Archaea	16S_rRNA	Methanobacteriota	Methanobrevibacter	Methanobrevibacter ruminantium M1	NR_044812	NCBI_RefSeq	High	archaeal_rumen_anchor	Keep	Dominant rumen methanogen; strong archaeal and rumen anchor.
PHYLOSELECT_REF_Archaea_Methanobacterium	Archaea	16S_rRNA	Methanobacteriota	Methanobacterium	Methanobacterium thermoautotrophicum str. Marburg	NR_028243	NCBI_RefSeq	Moderate	archaeal_outgroup	Keep	Methanogen-related archaeal scaffold; less directly rumen-focused than Methanobrevibacter.
PHYLOSELECT_REF_Archaea_Sulfolobus	Archaea	16S_rRNA	Thermoproteota	Sulfolobus	Sulfolobus acidocaldarius DSM 639	NR_043325	NCBI_RefSeq	Low	deep_archaeal_outgroup	Optional	Deep archaeal root; useful as an outgroup but not rumen-specific.
PHYLOSELECT_REF_Bacillota_Streptococcus	Bacteria	16S_rRNA	Bacillota	Streptococcus	Streptococcus equinus NBRC 12553	NR_113594	NCBI_RefSeq	Moderate	rumen_related_bacillota_anchor	Keep	Streptococcus equinus/bovis group can be rumen relevant; useful Lactobacillales/Bacilli anchor.
